,Darija,English,MSA
247,واش بصّح كاتفكّر هاكّا?,You really think so?,هل حقاً تعتقد ذلك؟
248,ناري هادشي كايخلع,"Oh, my God, that's horrible",يا إلهي، هذا فظيع
249,مابغيتش خلعكوم والاكين تايبالّيا حنا إمكن غاديين اللهاويا,I don't want to scare you but I think we may be about to plummet to our death,لا أريد أن أخيفك لكن أعتقد أننا قد نكون على وشك السقوط إلى الموت
250,"السموحات تانبرزطك, والاكين أنا راه مخلوع بصّح","I'm sorry to bother you with this, but I'm really scared",أنا آسف لإزعاجك بهذا، ولكني حقاً خائف
251,ماتانفهم التا زفتا ف الطيّارات والاكين كانتخلع كولّا مرّا تانطير ف السما,"I don't know anything about airplanes, but I'm terrified every time I fly",لا أعرف أي شيء عن الطائرات، ولكني أشعر بالرعب في كل مرة أطير
252,"واييه, فشكل, تايبان بحالا لموطور خاسر","Yes, it is weird, it sounds like the engine is failing",نعم، هذا غريب، يبدو أن المحرك يعاني من خلل
253,تانسمع حتّا شي مرا كاتغووّت,I can also hear a lady screaming,أستطيع أيضًا سماع سيدة تصرخ
254,"فشكيل, أولّا?","It's weird, isn't it?",إنه غريب، أليس كذلك؟
255,"سمح ليا, واش كاتسمع هاد الصداع?","Excuse me, do you hear that noise?",عفواً، هل تسمع ذلك الضجيج؟
256,أنا فرحان شويا بي أنّاهو ديالي اللي جاي ماشي ديالك,I'm quite glad it's mine coming and not yours,أنا سعيد جدًا أنه قادم لي وليس لك
257,حنا ف أمان!,We're safe!,نحن في أمان!
258,هاهوا جاي إدّينا دابا.,He's coming to get us now.,إنه قادم ليأخذنا الآن.
259,"أُه, هادشي زين","Oh, that's cool",أوه، هذا رائع
260,هاهوا كايصوني....,It's ringing....,إنه يرن....
261,"بلموناسابا, أنا ڭاع ماكانعرف نجبد لقيوا السيحريا ديالها","But by the way, I don't know how to provoke her magical powers",ولكن على فكرة، لا أعرف كيف أستفز قواها السحرية
262,كانقتارح ناكلو لفرماج بل فورشيطا,I suggest we eat the cheese with the fork,أقترح أن نأكل الجبنة بالشوكة
263,نقدرو هير ندوورو ل تاكسي؟,We could just phone for a taxi?,يمكننا فقط الاتصال بسيارة أجرة؟
264,عرفت أنّاكوم كاتهدرو علا لفرامج,I know you're talking about cheese,أعلم أنك تتحدث عن الجبن
265,ماعندي أدنا فيكرا علا أش كاتڭولو,I have no idea what you're talking about,ليس لدي أي فكرة عما تتحدث عنه
266,وا هووا ڭاع مامڭادّ.,It's not even straight.,إنه ليس مستقيمًا حتى.
267,وا هوما ڭاع ڭودّو إتنيو لفرشيطا ديالي,They even managed to bend my fork,حتى أنهم تمكنوا من ثني شوكتي
268,أش كايعني داكشي?,What does that mean?,ماذا يعني ذلك؟
269,"ليلأساف, ديالي هي فورشيطا عاديا.","Unfortunately, mine is just a normal fork.",للأسف، الشوكة التي عندي عادية فقط.
270,واش إمكن تكون عندها شي قيوا سيحريا?,Could it be that it has magic powers?,هل يمكن أن يكون لديه قوى سحرية؟
271,كايعني أنّاها تصنعات مزيان.,It means it was well manufactured.,يعني أنه تم تصنيعه بشكل جيد.
272,الصبر...,Patience...,الصبر...
273,"أُه, إمكن عندي لفورشيطا الزايدا","Oh, maybe I have the extra fork!",آه، ربما عندي الشوكة الإضافية!
274,بلّاتي نضرب طليلا,Let me have a look,دعني ألقي نظرة
275,كاتقصد أنّا الريحا جايّا من لكادو ديالك?,You mean that smell's coming from your present?,هل تعني أن هذه الرائحة تأتي من هديتك؟
276,"اللا, مازال ماحلّيتو","No, I haven't opened it yet",لا، لم أفتحه بعد
277,كايطلّعوها علينا!,They're taunting us!,إنهم يستفزوننا!
278,بلّاتي... أش هادشي اللي عطاوني?,Wait... what did they give me?,انتظر... ماذا أعطوني؟
279,علاش كنّا نيّا ؟,Why were we so naive?,لماذا كنا ساذجين جداً؟
280,لا!,Oh no!,يا لا!
281,بلخاريطا كنّا دغيا غالقاو أسراع طريق ل أحسان رستورا ف السيكتور.,With the map we would have quickly found the quickest way to the best restaurant in the area.,باستخدام الخريطة كنا سنجد بسرعة أسرع طريق إلى أفضل مطعم في المنطقة.
282,حلّيتي ديالك مازال?,Have you opened yours yet?,هل فتحت الخاص بك بعد؟
283,وا أُ دوك ل كوادووات اللي عطاونا?,How about the presents they gave us?,ماذا عن الهدايا التي أعطونا إياها؟
284,همّ.,Hmm.,همم.
285,أُ أنا كنت تانضنّ أنّهوم زوينين...,And I thought they looked cute...,كنت أظن أنهم يبدون جذابين...
286,كانت هاديك هيا طاريقا لواحيدا باش نجعلوهوم إردّو لينا ماكلتنا,It was the only way to get them to give us back our food,كانت هي الطريقة الوحيدة لجعلهم يعيدون إلينا طعامنا
287,جات مكلّخا أنّاك تخسر أُنتا عندك كارطا زوينا!,It's stupid to lose when we have a good card!,من الغباء أن نخسر عندما نمتلك ورقة جيدة!
288,شمن كارت ڭيشي علاش بيتينا نخدمو?,What credit cards do you want us to work on?,ما هي بطاقات الائتمان التي تريد منا العمل عليها؟
289,ماڭلتي عليب.,All right.,حسنًا.
290,واش هيا فراسها غاتشوفك?,Is she expecting to see you?,هل هي تتوقع رؤيتك؟
291,مازال ماشفت ل أُستاد تل فيزيك,I haven't seen the physics teacher,لم أرَ مُدرّس الفيزياء بعد
292,أش بالّيك?,What do you think?,ما رأيك؟
293,ماعرفتيش واش ل أُستاد تل فيزيك كاين هنا ليوم?,Do you know if the professor of physics is here today?,هل تعلم إذا كان أستاذ الفيزياء موجودًا اليوم؟
294,أش بغيتي تدير ليوما ألا كنّا بوحدنا?,What do you want to do today if we're alone?,ماذا تريد أن تفعل اليوم إذا كنا وحدنا؟
295,ماعنديش ورقا قديما تل متيحان,I do have an old examination paper,ليس لدي ورقة امتحان قديمة
296,"وايه, عشراني مبلوكايين","Yes, my comrades are blocked",نعم، رفاقي محظورون
297,كانضنّ كولشي عندو ماشاكيل معا ترانسپورت,I suppose that everyone else is having problems with transport,أظن أن الجميع يواجهون مشاكل مع وسائل النقل
298,ڭادّيت التامارين بلا التا موشكيل لبارح,I did my homework without problem yesterday,أنجزت واجبي البيتي بدون مشكلة أمس
299,واش بدات لحيصّا?,Has class started?,هل بدأت الحصة؟
300,كاتستاحقّها.,You deserve it.,أنت تستحقه.
301,كانتمنّا تجيب شي نوقطا مبرّعا,I am hoping that you get a really good result,أتمنى أن تحصل على نتيجة جيدة جدًا
302,كان عندك لحقّ فاش خديتي طوموبيل,You were right to take the car,كنت محقًا في أخذ السيارة
303,"موهيم, كيخدمتي التامارين لبارح فلّيل?","Anyway, how did you do with your homework last night?",على أي حال، كيف قمت بواجبك المنزلي الليلة الماضية؟
304,جيت ف طوموبيل ليوما باش نتفادا طوبيسات.,I came in by car today to avoid the buses.,جئت اليوم بالسيارة لتجنب الحافلات.
305,زيد عليها أنّاك كنتي معطّل لبارح تاهوا.,"Besides, you were late yesterday, too.",إلى جانب ذلك، لقد تأخرت أمس أيضًا.
306,مشا عليا طوبيس,I missed my bus today,فاتني الحافلة
307,تعطّلتي ليوم تاني. شنو لعودر ديالك ليوم?,You're late again. What is your excuse today?,أنت متأخر مرة أخرى. ما عذرك اليوم؟
308,"وايه, طهلّا","Yes, goodbye",نعم، وداعاً
309,"شوكران أ مادام, واخا نسيني ورقا تلحوضور هيا لوولا?","Thank you, ma'am, can I sign the presence sheet first?",شكرًا سيدتي، هل يمكنني التوقيع على ورقة الحضور أولاً؟
310,وا هير سير أُ فكّر فل أولاويات ديالك أُ أش بغيتي تحقّق,Just go away and think about your priorities and what you want to achieve,فقط اذهب بعيداً وفكر في أولوياتك وما تريد تحقيقه
311,سير تنعس بكري,get to bed early,اذهب إلى الفراش مبكرًا
312,"أُه, سمح ليا, درت معاك لغالاط.","Oh, I'm sorry, I was wrong with you.",نعم، أنا أسف، لقد كنت مخطئًا معك.
